DATOS,PAÍS,ODS,INDICADOR ODS,TIPO DE FUENTE,FUENTE,MÉTODO DE RECOLECCIÓN,OBJETIVO DE LOS DATOS,LEGISLACIÓN RECOLECCIÓN,LEGISLACIÓN CONFIDENCIALIDAD,LEGISLACIÓN RESTRICCIÓN A LA COMERCIALIZACIÓN,VARIABLES,INFORMACIÓN GENERADA,DESAGREGACIÓN GEOGRÁFICA,DISPONIBLE EN LÍNEA,FORMATO,DISPONIBLE EN,FECHA DE CONSULTA,PERIODICIDAD DE DIFUSIÓN,ÚLTIMA PUBLICACIÓN,CATEGORIAS USUARIOS,USUARIOS DE LA INFORMACIÓN,FUENTE,OBSERVACIONES
ENCUESTA NACIONAL DE HOGARES PRODUCTORES (ENHOPRO),COSTA RICA,8 TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO,,SECTOR PÚBLICO,"INSTITUTO NACIONAL DE ESTADÍSTICAS Y CENSOS ""INEC""",ENCUESTA POR MUESTREO,"Identificar y recolectar información sobre las personas que poseen algún tipo de micro o pequeño negocio donde se desarrolla alguna actividad económica por su cuenta, para evidenciar su aporte a la producción nacional.",,,,Nivel de educación * Edad y sexo emprendedores * Actividad económica * Créditos aprobados * Apoyo de instituciones * Tamaño del negocio * Permanencia en el mercado,"Emprendedores de los hogares con créditos aprobados por año según destino * Emprendedores de los hogares por año según sexo, grupo de edad, nivel de educación y otros * Emprendedores de los hogares por año y sexo según grupo de edad, nivel de educación, jefatura del hogar y otros * Emprendimientos de los hogares por año según características de formalidad * Emprendimientos de los hogares por año según disponibilidad de local para realizar tareas",NACIONAL,SI,XLS,http://www.inec.go.cr/encuestas/encuesta-nacional-de-hogares-productores,17/07/2016,ANUAL,2015,,,http://www.inec.go.cr/encuestas/encuesta-nacional-de-hogares-productores,
ENCUESTA NACIONAL DE HOGARES PRODUCTORES (ENHOPRO),COSTA RICA,1 FIN DE LA POBREZA,,SECTOR PÚBLICO,"INSTITUTO NACIONAL DE ESTADÍSTICAS Y CENSOS ""INEC""",ENCUESTA POR MUESTREO,"Identificar y recolectar información sobre las personas que poseen algún tipo de micro o pequeño negocio donde se desarrolla alguna actividad económica por su cuenta, para evidenciar su aporte a la producción nacional.",,,,Nivel de educación * Edad y sexo emprendedores * Actividad económica * Créditos aprobados * Apoyo de instituciones * Tamaño del negocio * Permanencia en el mercado,"Emprendedores de los hogares con créditos aprobados por año según destino * Emprendedores de los hogares por año según sexo, grupo de edad, nivel de educación y otros * Emprendedores de los hogares por año y sexo según grupo de edad, nivel de educación, jefatura del hogar y otros * Emprendimientos de los hogares por año según características de formalidad * Emprendimientos de los hogares por año según disponibilidad de local para realizar tareas",NACIONAL,SI,XLS,http://www.inec.go.cr/encuestas/encuesta-nacional-de-hogares-productores,17/07/2016,ANUAL,2015,,,http://www.inec.go.cr/encuestas/encuesta-nacional-de-hogares-productores,
ENCUESTA NACIONAL DE HOGARES PRODUCTORES (ENHOPRO),COSTA RICA,12 PRODUCCIÓN Y CONSUMO RESPONSABLES,,SECTOR PÚBLICO,"INSTITUTO NACIONAL DE ESTADÍSTICAS Y CENSOS ""INEC""",ENCUESTA POR MUESTREO,"Identificar y recolectar información sobre las personas que poseen algún tipo de micro o pequeño negocio donde se desarrolla alguna actividad económica por su cuenta, para evidenciar su aporte a la producción nacional.",,,,Nivel de educación * Edad y sexo emprendedores * Actividad económica * Créditos aprobados * Apoyo de instituciones * Tamaño del negocio * Permanencia en el mercado,"Emprendedores de los hogares con créditos aprobados por año según destino * Emprendedores de los hogares por año según sexo, grupo de edad, nivel de educación y otros * Emprendedores de los hogares por año y sexo según grupo de edad, nivel de educación, jefatura del hogar y otros * Emprendimientos de los hogares por año según características de formalidad * Emprendimientos de los hogares por año según disponibilidad de local para realizar tareas",NACIONAL,SI,XLS,http://www.inec.go.cr/encuestas/encuesta-nacional-de-hogares-productores,17/07/2016,ANUAL,2015,,,http://www.inec.go.cr/encuestas/encuesta-nacional-de-hogares-productores,
ENCUESTA NACIONAL DE INGRESOS Y GASTOS DE LOS HOGARES (ENIGH),COSTA RICA,10 REDUCCIÓN DE LAS DESIGUALDADES,,SECTOR PÚBLICO,"INSTITUTO NACIONAL DE ESTADÍSTICAS Y CENSOS ""INEC""",ENCUESTA POR MUESTREO,"Conocer las diversas fuentes de ingresos que tienen los hogares y cómo distribuyen sus ingresos en la adquisición de los diferentes bienes y servicios. estimar la secuencia de cuentas del Sector Hogares, dentro del sistema de Cuentas Nacionales del país, en el marco del proyecto de Cambio de Año Base. Actualizar la canasta de bienes y servicios que componen el Índice de Precios al Consumidor (IPC); entre otros estudios sobre la estructura de gastos de los hogares y la distribución del ingreso.",,,,Sexo * Ingresos hogares * Distribución del Ingreso * Gastos * Distribución de los gastos * Tenencia servicios básicos * Tenencia vehículo * Tenencia artefactos tecnología,"Hogares, personas, promedio de gasto e ingreso corriente bruto mensual por hogar según decil de ingreso * Coeficientes de Gini de la distribución del gasto corriente por zona * Coeficientes de Gini de la distribución del ingreso corriente bruto y neto por zona * Distribución porcentual del gasto corriente mensual del hogar por región de planificación según grupo de gasto * Gasto corriente mensual, promedio por hogar y distribución porcentual por zona según grupo de gasto",NACIONAL,SI,XLS,http://www.inec.go.cr/encuestas/encuesta-nacional-de-ingresos-y-gastos-de-los-hogares,21/07/2016,ANUAL,2013,,,http://www.inec.go.cr/encuestas/encuesta-nacional-de-ingresos-y-gastos-de-los-hogares,
ENCUESTA NACIONAL DE INGRESOS Y GASTOS DE LOS HOGARES (ENIGH),COSTA RICA,1 FIN DE LA POBREZA,,SECTOR PÚBLICO,"INSTITUTO NACIONAL DE ESTADÍSTICAS Y CENSOS ""INEC""",ENCUESTA POR MUESTREO,"Conocer las diversas fuentes de ingresos que tienen los hogares y cómo distribuyen sus ingresos en la adquisición de los diferentes bienes y servicios. estimar la secuencia de cuentas del Sector Hogares, dentro del sistema de Cuentas Nacionales del país, en el marco del proyecto de Cambio de Año Base. Actualizar la canasta de bienes y servicios que componen el Índice de Precios al Consumidor (IPC); entre otros estudios sobre la estructura de gastos de los hogares y la distribución del ingreso.",,,,Ingresos hogares * Distribución del Ingreso * Gastos * Distribución de los gastos * Tenencia servicios básicos * Tenencia vehículo * Tenencia artefactos tecnología * Sexo,"Hogares, personas, promedio de gasto e ingreso corriente bruto mensual por hogar según decil de ingreso * Coeficientes de Gini de la distribución del gasto corriente por zona * Coeficientes de Gini de la distribución del ingreso corriente bruto y neto por zona * Distribución porcentual del gasto corriente mensual del hogar por región de planificación según grupo de gasto * Gasto corriente mensual, promedio por hogar y distribución porcentual por zona según grupo de gasto.",NACIONAL,SI,XLS,http://www.inec.go.cr/encuestas/encuesta-nacional-de-ingresos-y-gastos-de-los-hogares,21/07/2016,ANUAL,2013,,,http://www.inec.go.cr/encuestas/encuesta-nacional-de-ingresos-y-gastos-de-los-hogares,
ENCUESTA NACIONAL DE INGRESOS Y GASTOS DE LOS HOGARES (ENIGH),COSTA RICA,12 PRODUCCIÓN Y CONSUMO RESPONSABLES,,SECTOR PÚBLICO,"INSTITUTO NACIONAL DE ESTADÍSTICAS Y CENSOS ""INEC""",ENCUESTA POR MUESTREO,"Conocer las diversas fuentes de ingresos que tienen los hogares y cómo distribuyen sus ingresos en la adquisición de los diferentes bienes y servicios. estimar la secuencia de cuentas del Sector Hogares, dentro del sistema de Cuentas Nacionales del país, en el marco del proyecto de Cambio de Año Base. Actualizar la canasta de bienes y servicios que componen el Índice de Precios al Consumidor (IPC); entre otros estudios sobre la estructura de gastos de los hogares y la distribución del ingreso.",,,,Ingresos hogares * Distribución del Ingreso * Gastos * Distribución de los gastos * Tenencia servicios básicos * Tenencia vehículo * Tenencia artefactos tecnología * Sexo,"Hogares, personas, promedio de gasto e ingreso corriente bruto mensual por hogar según decil de ingreso * Coeficientes de Gini de la distribución del gasto corriente por zona * Coeficientes de Gini de la distribución del ingreso corriente bruto y neto por zona * Distribución porcentual del gasto corriente mensual del hogar por región de planificación según grupo de gasto * Gasto corriente mensual, promedio por hogar y distribución porcentual por zona según grupo de gasto.",NACIONAL,SI,XLS,http://www.inec.go.cr/encuestas/encuesta-nacional-de-ingresos-y-gastos-de-los-hogares,21/07/2016,ANUAL,2013,,,http://www.inec.go.cr/encuestas/encuesta-nacional-de-ingresos-y-gastos-de-los-hogares,
CENSO NACIONAL AGROPECUARIO (CENAGRO),COSTA RICA,15 VIDA DE ECOSISTEMAS TERRESTRES,,SECTOR PÚBLICO,"INSTITUTO NACIONAL DE ESTADÍSTICAS Y CENSOS ""INEC""",CENSO,"Caracterizar las fincas y las personas productoras, de los cultivos agrícolas, forestales y ornamentales, así como de actividades pecuarias, prácticas y servicios agropecuarios.",,,,Producción de residuos * Tratamiento de residuos *Provincia * Tamaño del hato * Tipo de cultivo * Cantidad de plantas * Tipo de animal * Tamaño del terreno o finca * Actividad pecuaria * Sistema de poda * Enfermedades cultivos * Plagas * Tipo de abonos * Características socio demográficas,"Fincas ganado porcino por sistema de alimentación, producción y tratamiento de residuos, según provincia y tamaño del hato * Total de espacios con producción agropecuaria que no son fincas por tipo de cultivo y cantidad de plantas, según provincia y cantón * Total de espacios con producción agropecuaria que no son fincas por tipo de animal, según provincia y cantón * Total de espacios con producción que no son fincas por sexo de la persona encargada, según provincia y cantón * Total de fincas agrícolas por extensión del espejo de agua en metros cuadrados, especie y sistema de producción, según provincia y tamaño de la finca en hectáreas.",NACIONAL,SI,XLS,http://www.inec.go.cr/agropecuario,22/07/2016,NO ESTABLECIDO,2014,,,http://www.inec.go.cr/agropecuario,
CENSO NACIONAL AGROPECUARIO (CENAGRO),COSTA RICA,2 HAMBRE CERO,,SECTOR PÚBLICO,"INSTITUTO NACIONAL DE ESTADÍSTICAS Y CENSOS ""INEC""",CENSO,"Caracterizar las fincas y las personas productoras, de los cultivos agrícolas, forestales y ornamentales, así como de actividades pecuarias, prácticas y servicios agropecuarios.",,,,Producción de residuos * Tratamiento de residuos * Provincia * Tamaño del hato * Tipo de cultivo * Cantidad de plantas * Tipo de animal * Tamaño del terreno o finca * Actividad pecuaria * Sistema de poda * Enfermedades cultivos * Plagas * Tipo de abonos * Características socio demográficas * Cultivos de café,"Fincas ganado porcino por sistema de alimentación, producción y tratamiento de residuos, según provincia y tamaño del hato * Total de espacios con producción agropecuaria que no son fincas por tipo de cultivo y cantidad de plantas, según provincia y cantón * Total de espacios con producción agropecuaria que no son fincas por tipo de animal, según provincia y cantón * Total de espacios con producción que no son fincas por sexo de la persona encargada, según provincia y cantón * Total de fincas agrícolas por extensión del espejo de agua en metros cuadrados, especie y sistema de producción, según provincia y tamaño de la finca en hectáreas.",NACIONAL,SI,XLS,http://www.inec.go.cr/agropecuario,22/07/2016,NO ESTABLECIDO,2014,,,http://www.inec.go.cr/agropecuario,
ENCUESTA NACIONAL DE HOGARES (ENAHO),COSTA RICA,10 REDUCCIÓN DE LAS DESIGUALDADES,,SECTOR PÚBLICO,"INSTITUTO NACIONAL DE ESTADÍSTICAS Y CENSOS ""INEC""",ENCUESTA POR MUESTREO,Caracterizar la situación socioeconómica de las personas y sus hogares en temas como el acceso a las tecnologías a través del internet y de la telefonía fija y celular,,,,Viviendas con telefonía celular * Viviendas con acceso a internet * Viviendas con telefonía residencial * Número de líneas telefónicas,Cantidad y porcentaje de viviendas con telefonía residencial y telefonía celular por región de planificación según cantidad de líneas * Cantidad y porcentaje de viviendas con telefonía residencial y telefonía celular por zona según cantidad de líneas * Cantidad y porcentaje de viviendas que poseen diferentes TIC por quintil del ingreso per cápita del hogar según región de planificación y tenencia de TIC * Cantidad y porcentaje de viviendas que poseen diferentes TIC por quintil del ingreso per cápita del hogar según zona y tenencia de TIC * Cantidad y porcentaje de viviendas que poseen diferentes TIC por región de planificación según tenencia de TIC,NACIONAL,SI,XLS,http://www.inec.go.cr/otros-temas-ciencia-y-tecnologia/tecnologias-de-informacion-y-comunicacion-en-hogares,22/07/2016,ANUAL,2015,,,http://www.inec.go.cr/otros-temas-ciencia-y-tecnologia/tecnologias-de-informacion-y-comunicacion-en-hogares,
ENCUESTA NACIONAL DE HOGARES (ENAHO),COSTA RICA,"9 INDUSTRIA, INNOVACIÓN E INFRAESTRUCTURA",,SECTOR PÚBLICO,"INSTITUTO NACIONAL DE ESTADÍSTICAS Y CENSOS ""INEC""",ENCUESTA POR MUESTREO,Suministrar información sobre la tenencia y uso de las tecnologías de Información y de Comunicación de los hogares,,,,Acceso a internet * región * Servicios de telefonía residencial * Servicio y celular * Uso de computadoras,"Cantidad y porcentaje de viviendas que poseen diferentes TIC por zona, según quintil del ingreso per cápita del hogar * Cantidad y porcentaje de viviendas que poseen diferentes TIC por zona, según región y tenencia de TIC * Cantidad y porcentaje de viviendas que poseen diferentes TIC, por región, según región y tenencia de TIC",NACIONAL,SI,XLS,http://www.inec.go.cr/ciencias-y-tecnologias/otros-temas-ciencia-y-tecnologia,23/07/2016,ANUAL,2012,,,http://www.inec.go.cr/ciencias-y-tecnologias/otros-temas-ciencia-y-tecnologia,
CENSO 2011,COSTA RICA,1 FIN DE LA POBREZA,,SECTOR PÚBLICO,"INSTITUTO NACIONAL DE ESTADÍSTICAS Y CENSOS ""INEC""",CENSO,"Clasificar porcentualmente los hogares pobres, por línea de pobreza",,,,Línea de pobreza * Cantón,"Total de hogares pobres por línea de pobreza, según Cantón",NACIONAL,SI,XLS,http://www.inec.go.cr/economia,23/07/2016,NO ESTABLECIDO,2011,,,http://www.inec.go.cr/economia,
COMERCIO EXTERIOR-BALANZA COMERCIAL,COSTA RICA,"9 INDUSTRIA, INNOVACIÓN E INFRAESTRUCTURA",,SECTOR PÚBLICO,"INSTITUTO NACIONAL DE ESTADÍSTICAS Y CENSOS ""INEC""",REGISTRO ADMINISTRATIVO,Evaluar el dinamismo de Importaciones y Exportaciones.Promover el Comercio Exterior,,,,Zona económica * Productos Exportados * Productos Importados *País de intercambio * Cantidad de Exportaciones * Cantidad de Importaciones * Servicios Exportados,Balanza Comercial de Comercio Exterior,NACIONAL,SI,XLS,http://www.inec.go.cr/economia/comercio-exterior-0,23/07/2016,ANUAL,2014,,,http://www.inec.go.cr/economia/comercio-exterior-0,
CANASTA BÁSICA ALIMENTARIA (CBA),COSTA RICA,2 HAMBRE CERO,,SECTOR PÚBLICO,"INSTITUTO NACIONAL DE ESTADÍSTICAS Y CENSOS ""INEC""",REGISTRO ADMINISTRATIVO,"La medición del fenómeno de la pobreza mediante el Método de Línea de Pobreza o Método del Ingreso, para satisfacer las necesidades mínimas de calorías de un hogar promedio",,,,Precios artículos IPC por zona * Precios artículos IPC por mes,"Costo per cápita mensual por zona, según subgrupo en colones corrientes * Costo per cápita mensual por zona, según subgrupo en colones corrientes * Costo per cápita mensual por zona, según subgrupo en colones corrientes * Costo per cápita mensual por zona, según subgrupo en colones corrientes * Costo per cápita mensual por zona, según subgrupo en colones corrientes",NACIONAL,SI,XLS,http://www.inec.go.cr/economia/costo-canasta-basica-alimentaria,24/07/2016,ANUAL,jun.-16,,,http://www.inec.go.cr/economia/costo-canasta-basica-alimentaria,
